"","sample","alb","biclyr","lob","mac","micmon","muepri","sinstemar","pureCount","hybCount","hyb","sinstemar_1","muepri_1","alb_1","biclyr_1","lob_1","mac1_1","mac2_1","micmon_1","macComb"
"1","SRR14632920","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"2","SRR14632922","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"3","SRR14632924","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.999929,1e-05,1.1e-05,1e-05,2.1e-05
"4","SRR14632927","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.999921,1.9e-05,1e-05,1e-05,2.9e-05
"5","SRR14632928","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"6","SRR14632929","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"7","SRR14632932","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"8","SRR14632934","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1.1e-05,1e-05,1e-05,0.999929,1e-05,1e-05,1e-05,2e-05
"9","SRR14632950","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.999927,1e-05,1.3e-05,1e-05,2.3e-05
"10","SRR14632955","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"11","SRR14632961","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"12","SRR14632964","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
