"","Group.1","alb.x","bic.x","lob.x","lyr.x","mac.x","mic.x","mon.x","mue.x","pri.x","sin.x","ste.x","stemar.x","mar.x","alb.y","bic.y","lob.y","lyr.y","mac.y","mic.y","mon.y","mue.y","pri.y","sin.y","mar.y","ste.y","stemar.y","colnum","species","state","site","lat","long","sp","hyb"
"1","SRR14632920",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2e-05,1.2e-05,1.7e-05,2e-05,1.3e-05,1.4e-05,1e-05,1.2e-05,2.2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"2","SRR14632922",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.999899,2e-05,2e-05,1e-05,1.4e-05,2.4e-05,1e-05,1e-05,1.3e-05,1e-05,2.3e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"3","SRR14632924",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2.3e-05,2.7e-05,0.999891,2e-05,2.3e-05,1.5e-05,1.3e-05,2.2e-05,1.6e-05,1.9e-05,1.9e-05,1.2e-05,2.9e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"4","SRR14632927",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2.1e-05,1.4e-05,1.6e-05,2.3e-05,1.8e-05,1e-05,1.7e-05,1e-05,2.7e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"5","SRR14632928",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2.4e-05,2e-05,0.999897,2e-05,2.8e-05,1e-05,1.8e-05,2.1e-05,1e-05,1.2e-05,1.9e-05,1.9e-05,3.8e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"6","SRR14632929",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2e-05,1e-05,1.4e-05,2e-05,1.6e-05,1e-05,1e-05,1.5e-05,2.5e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"7","SRR14632932",1e-05,1e-05,0.999888,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.999893,2e-05,2.1e-05,1.8e-05,1e-05,2.1e-05,1.8e-05,1.6e-05,1.6e-05,1.4e-05,3e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"8","SRR14632934",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2.4e-05,1.9e-05,1e-05,2.3e-05,1.4e-05,1.2e-05,1e-05,1.1e-05,2.1e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"9","SRR14632950",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2.2e-05,2e-05,0.9999,2e-05,2.8e-05,1.1e-05,1.1e-05,2e-05,1.4e-05,2e-05,1e-05,1e-05,2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"10","SRR14632955",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2.4e-05,1.2e-05,1e-05,2e-05,1.3e-05,1e-05,1e-05,1e-05,2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"11","SRR14632961",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2.8e-05,1.4e-05,1.9e-05,2e-05,1.4e-05,1.3e-05,1e-05,1e-05,2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
