,Group.1,alb.x,bic.x,lob.x,lyr.x,mac.x,mic.x,mon.x,mue.x,pri.x,sin.x,ste.x,stemar.x,mar.x,alb.y,bic.y,lob.y,lyr.y,mac.y,mic.y,mon.y,mue.y,pri.y,sin.y,mar.y,ste.y,stemar.y,colnum,species,state,site,lat,long,sp,hyb,,
46,SYST-MOR-0006745,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.60E-05,1.00E-05,1.00E-05,0.999884,0.99989,0,0,0,1.00E-05,MO_SH_013_All,Quercus muehlenbergii Engelm.,Missouri,Shaw Nature Preserve ,38.462961,-90.817895,hyb,hyb,1.00E-05,BC1?
55,SYST-MOR-0006754,1.00E-05,0.052681,1.00E-05,0.935267,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.140415,2.00E-05,0.9999,2.10E-05,1.90E-05,2.00E-05,2.20E-05,1.00E-05,1.80E-05,1.00E-05,1.00E-05,2.00E-05,IL_OB_022_All,Quercus lyrata Walt.,Illinois,"Oakwood Bottoms, Shawnee National Forest",37.67671977,-89.41348579,hyb,hyb,9.35E-01,>0.74
58,SYST-MOR-0006757,1.00E-05,0.145216,1.00E-05,0.85032,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.373897,2.00E-05,0.9999,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.40E-05,1.80E-05,1.00E-05,1.00E-05,2.00E-05,IL_OB_025_All,Quercus lyrata Walt.,Illinois,"Oakwood Bottoms, Shawnee National Forest",37.68078153,-89.41336776,hyb,hyb,8.50E-01,>0.74
61,SYST-MOR-0006760,1.00E-05,0.214472,1.00E-05,0.783282,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.408205,2.00E-05,0.999897,2.60E-05,1.90E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.60E-05,1.00E-05,2.60E-05,IL_OB_028_All,Quercus lyrata Walt.,Illinois,"Oakwood Bottoms, Shawnee National Forest",37.68524873,-89.41207203,hyb,hyb,7.83E-01,>0.74
63,SYST-MOR-0006762,1.00E-05,0.046732,1.00E-05,0.434479,0.486566,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.250161,2.00E-05,0.507896,0.565874,1.60E-05,1.00E-05,2.00E-05,1.10E-05,1.20E-05,1.00E-05,1.40E-05,2.40E-05,IL_OB_030_All,Quercus lyrata Walt.,Illinois,"Oakwood Bottoms, Shawnee National Forest",37.68116988,-89.41301867,hyb,hyb,4.87E-01,F1
70,SYST-MOR-0006769,1.30E-05,2.00E-05,1.00E-05,0.026974,0.972922,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.20E-05,0,1.00E-05,0,1.30E-05,2.00E-05,1.00E-05,0.026974,0.972922,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.20E-05,0,0,1.00E-05,MO_BOT_037_All,Quercus macrocarpa Michx.,Missouri,Big Oak Tree State Park ,36.64505,-89.294533,hyb,hyb,9.73E-01,>0.74
75,SYST-MOR-0006774,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.110092,0.889818,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.10E-05,2.00E-05,2.00E-05,2.00E-05,0.141614,0.911689,1.90E-05,2.90E-05,1.00E-05,1.60E-05,1.00E-05,1.90E-05,2.90E-05,MO_BOT_042_All,Quercus michauxii Nutt.,Missouri,Big Oak Tree State Park ,36.64349071,-89.28700738,hyb,hyb,8.90E-01,>0.74
78,SYST-MOR-0006777,1.90E-05,1.00E-05,1.00E-05,2.00E-05,0.853383,0.146508,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.90E-05,1.00E-05,1.00E-05,2.00E-05,0.853383,0.146508,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,MO_BOT_045_All,Quercus macrocarpa Michx.,Missouri,Big Oak Tree State Park ,36.64145662,-89.29029231,hyb,hyb,8.53E-01,>0.74
88,SYST-MOR-0006787,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,0.527586,2.00E-05,1.20E-05,1.00E-05,2.20E-05,IA_LNW_055_MG,Quercus muehlenbergii Engelm.,Iowa,Lindsay Wilderness,40.708616,-91.787231,hyb,hyb,1.00E+00,>0.74
90,SYST-MOR-0006789,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.656197,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.30E-05,1.00E-05,1.00E-05,0.99989,0.3437,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_057_MG,Quercus muehlenbergii Engelm.,Iowa,Lindsay Wilderness,40.707006,-91.789441,hyb,hyb,6.56E-01,BC1?
100,SYST-MOR-0006800,1.00E-05,0.960318,1.00E-05,1.00E-05,0.021439,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,2.00E-05,0.081726,1.80E-05,1.00E-05,2.20E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_CHP_068_MG,Quercus bicolor Willd.,Iowa,Cherokee Park ,41.97333445,-91.724764,hyb,hyb,9.60E-01,>0.74
107,SYST-MOR-0006807,1.50E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.599571,0.40032,1.00E-05,0,1.00E-05,0,2.00E-05,2.90E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,0.440041,1.00E-05,1.00E-05,0,1.00E-05,MO_TRC_075_MG,Quercus muehlenbergii Engelm.,Missouri,Tyson Research Center,38.512209,-90.576047,hyb,hyb,6.00E-01,BC1?
133,SYST-MOR-0006834,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.10E-05,1.70E-05,0.9999,0.99989,1.90E-05,1.00E-05,1.00E-05,2.00E-05,MO_PSP_MG922_MG,Quercus prinoides Willd.,Missouri,Prairie State Park ,37.53175559,-94.5747844,hyb,hyb,1.00E+00,>0.74
134,SYST-MOR-0006835,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.90E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.60E-05,1.00E-05,0.9999,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_PSP_MG923_MG,Quercus prinoides Willd.,Missouri,Prairie State Park ,37.53218285,-94.57512656,hyb,hyb,1.00E+00,>0.74
