,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,collectionNumber
1,SRR14632920,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
2,SRR14632922,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
3,SRR14632924,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.10E-05,NA
4,SRR14632927,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.90E-05,NA
5,SRR14632928,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
6,SRR14632929,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
7,SRR14632932,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
8,SRR14632934,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
9,SRR14632950,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.30E-05,NA
10,SRR14632955,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
11,SRR14632961,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
12,SRR14632964,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
13,SRR14632967,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
14,SRR14632968,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
15,SRR14632969,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
16,SRR14632970,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
17,SRR3244044,none,none,pure?,none,none,none,none,1,0,pure,0,0,0,0,0.9999,0,0,0,2.00E-05,NA
18,SYST-MOR-0006717,hybrid?,none,none,none,hybrid?,none,none,0,2,hybrid,0,0,0.0584,0,0,0,0,0.9416,2.00E-05,IL_HP_MG919_MG
19,SYST-MOR-0006718,none,none,none,none,pure?,none,none,1,0,pure,0,0,0.0529,0,0,0,0,0.947,2.00E-05,IL_HP_MG920_MG
